Location,Hospital_Name,State,District,Pincode,Hospital_Fax,Website
"43, Lakshmi Talkies Road, Shenoy Nagar",Billroth Hospital,Tamil Nadu,Chennai,600030,0,www.billrothhospitals.com
"Chetpet, No.77, Harrington Road",Prashanth Fertility Research Centre,Tamil Nadu,Chennai,600031,0,www.pfrcivf.com
"No 1, Ramachandra Nagar, Porur",Sri Ramachandra Medical Centre (SRMC),Tamil Nadu,Chennai,600116,0,www.srmc.edu
"4 - A, Dr.J.Jayalalitha Nagar, Mogappair",Madras Medical Mission Hospital - Institute of Cardio Vascular Diseases,Tamil Nadu,Chennai,600037,0,www.madrasmedicalmission.org
"Thiruvottriyur, No.393/1, T H Road",Aakash Hospital,Tamil Nadu,Chennai,600019,0,www.aakashhospital.in
"12 - A, Nageswara Road, Nungambakkam",Kanchi Kamakoti Childs Trust Hospital,Tamil Nadu,Chennai,600034,0,www.childstrusthospital.in
"No.645, TH Road, Tondiarpet","Apollo Hospitals, Tondiarpet",Tamil Nadu,Chennai,600081,0,www.apollohospitals.com
"15, Dr.Radha Krishnan Salai, Mylapore",CSI Kalyani Hospital,Tamil Nadu,Chennai,600004,0,www.csikalyanihospital.com
"5/639, Old Mahabalipuram Road, Kandanchavadi, Perungudi",Lifeline Multi Speciality Hospital,Tamil Nadu,Chennai,600096,0,www.lifelinehospitals.com
"New No.72, Old No.148, Luz Church Road, Mylapore",Chennai Meenakshi Multispeciality Hospital,Tamil Nadu,Chennai,600004,0,www.cmmh.in
"7, Barnaby Road, Kilpauk","Aditya Hospital, Kilpauk",Tamil Nadu,Chennai,600010,0,www.adityahospital.co.in
"241, G.S.T.Road, Chromepet",Parvathy Hospital,Tamil Nadu,Chennai,600044,0,www.parvathyhospital.com
"No: 827, Poonamallee High Road",KKR Ent Hospital and Research Institute (P) Ltd,Tamil Nadu,Chennai,600010,044 2641 2727,http://www.kkrenthospital.org/
"Block No l.122/169-170,\nCPWD Quarters, Indira Nagar, Adyar\n",Adyar Dispensary,Tamil Nadu,Chennai,600020,0,http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf
"Revenue Quarters, No.15, Ranganathan\nGarden, Anna Nagar",Ana Nagar Dispensary and Polyclinic Central,Tamil Nadu,Chennai,600040,0,http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf
"No.64,\nThathamuthiappan Street, George Town",George Town Dispensary,Tamil Nadu,Chennai,600001,0,http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf
"No.1, 1st Street,\nGopalapuram",Gopalapuram Dispensary,Tamil Nadu,Chennai,600086,0,http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf
"Block No.6/1-5, BCG\nStaff Quarters, Guindy",Guindy Dispensary,Tamil Nadu,Chennai,600032,0,http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf
"GPRA Complex, CPWD Quarters, K.K.Nagar",K.K.Nagar Dispensary and Polyclinic,Tamil Nadu,Chennai,600078,0,http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf
"DGQA Complex,\nMeenambakkam",Meenambakkam Dispensary,Tamil Nadu,Chennai,600114,0,http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf
"Quarter No.16-19\n CDA Residential Complex, Nandambakkam",Nandambakkam Dispensary,Tamil Nadu,Chennai,600089,0,http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf
"Nungambakkam Dispensary CandB Block, 1st\nFloor, Shastri Bhavan, Haddows Road",Nungambakkam Dispensary CandB Block,Tamil Nadu,Chennai,600006,0,http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf
"No 28, Perambur High\nRoad, Perambur",Perambur Dispensary,Tamil Nadu,Chennai,600012,0,http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf
"Kamaraj Saalai, R.A.Puram",Raja Annamalai Puram Dispensary No.6,Tamil Nadu,Chennai,600028,0,http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf
"Mannar Swami Koil Street, Royapuram","Royapuram Dispensary, No.108 and 109",Tamil Nadu,Chennai,600013,0,http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf
"No.54, Akbar Sahib\nStreet, Triplicane",Triplicane Dispensary,Tamil Nadu,Chennai,600005,0,http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf
"No.143, Perambur\nBarracks Road Vepery",Vepery Dispensary,Tamil Nadu,Chennai,600007,0,http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf
"No.81-85, Annai Therasa Street, Indira Nagar",A.N.N.Hospital,Tamil Nadu,Chennai,600087,0,www.annhospital.com
"No.22/2, E.S.I.Hospital Road",Abhijay Hospital P.Ltd,Tamil Nadu,Chennai,600011,0,http://www.abhijayhospital.com/
"7, Barnaby Road",Aditya Hospital,Tamil Nadu,Chennai,600010,0,http://www.adityahospital.co.in/
"New No.80, 7th Avenue, Ashok Nagar",Ammayi Eye Hospital,Tamil Nadu,Chennai,600093,0,http://www.ammayieyehospital.com/
"New No.310, Mint Street, Sowcarpet",Amrit Hospital,Tamil Nadu,Chennai,600079,0,http://www.amrithospital.com/
"21, Greams Road, Off.Greams Lane",Apollo Hospital,Tamil Nadu,Chennai,600006,0,http://chennai.apollohospitals.com/
"No.41/42, 53/54, Sathyadev Avenue, Mrc Nagar",Apollo Specialty Hospitals Private Limited,Tamil Nadu,Chennai,600028,0,0
"320, Anna Salai, Teynampet, Nandanam",Apollo Speciality Hospitals,Tamil Nadu,Chennai,600035,0,http://chennai.apollohospitals.com/apollo-speciality-hospitals
"320, Anna Salai",Apollo Cancer Hospital,Tamil Nadu,Chennai,600018,0,0
"22, Greams Road",Apollo Hospitals,Tamil Nadu,Chennai,600006,0,0
"21, Greams Road",Apollo Hospital Enterprises Ltd,Tamil Nadu,Chennai,600006,0,0
"105, C-In-C Road",Apollo Medical Centre,Tamil Nadu,Chennai,600105,0,0
"No.3, Behind Nilgiris Department Stores, Off Dr.Radhakrishnan Road, P S Sivaswamy Salai, CIT Colony",A.V.M.Medicals ENT Research Foundation Pvt Ltd,Tamil Nadu,Chennai,600004,0,www.avmmmerf.com
"No - 1201, 6th Avenue",Aashiana Hospital,Tamil Nadu,Chennai,600040,0,http://www.aashianachennai.com/p/home.html
"No.28, Cathedral Gardens Road, Near Hotel Palmgrove",B.R.S.Hospitals Pvt.Ltd,Tamil Nadu,Chennai,600034,0,http://www.brshospital.com/
"200, Ramakrishna Multi Road",B.S.S.Hospital,Tamil Nadu,Chennai,600028,0,http://www.bsshospital.com/
"No.20, Gopathi Narayanaswami Chetty Road",Bharathi Rajaa Hospitals (P) Ltd,Tamil Nadu,Chennai,600017,0,http://www.brhospital.in/
"52, 2nd Main Road","Billroth Hospitals, R A Puram",Tamil Nadu,Chennai,600028,0,http://www.billrothhospitals.com/
"43, Lakshmi Talkies Road",Billroth Health Centre,Tamil Nadu,Chennai,600030,0,http://www.billrothhospitals.com/
"No.52, II Main Road",Billroth Hospitals Ltd,Tamil Nadu,Chennai,,0,http://www.billrothhospitals.com/
"36, 5th Main Road, Thillai Ganga Nagar",B.M.Hospital,Tamil Nadu,Chennai,600061,0,http://bmhospitals.com/
"1, Lawyer Janardhan Street",SRI Balaji Hospital,Tamil Nadu,Chennai,600032,0,http://sribalajihospital.com/
"No.7, Works Road",Sree Balaji Medical College and Hospital,Tamil Nadu,Chennai,600044,0,http://www.sbmch.ac.in/
"Rajiv Gandhi Salai, Old Mahabalipuram Road",Chettinad Super Speciality Hospital,Tamil Nadu,Chennai,603103,0,http://www.chettinadhealthcity.com/
"No.9, Duraiswamy Nagar, IAF Road, Near Madras Christian College",Christudas Orthopaedic Speciality Hospital,Tamil Nadu,Chennai,600059,0,http://www.cosh.in/
"No.1, 47th Street, 5th Main Road",C.M.Hospital,Tamil Nadu,Chennai,600 061,0,http://www.cmhospital.in/
"No.15, Dr.Radha Krishnan Salai",C.S.I.Kalyani Multi Speciality Hospital,Tamil Nadu,Chennai,600004,0,www.csikalyanihospital.com
"15, Dr.Radha Krishnan Salai",C.S.I.Kalyani  Multi Speciality Hospital,Tamil Nadu,Chennai,600004,0,www.csikalyanihospital.com
"Old No AA-10, New No AA - 85, 2ND-Avenue, Near Roundtana Bus Stop",City Tower Hospitals,Tamil Nadu,Chennai,600040,0,http://www.citytowerhospitals.net/contact.asp
"NO 45, GA Road, Old Washermanpet",C.S.I.Rainy Multi Speciality Hospital,Tamil Nadu,Chennai,600 021,0,http://csirainyhospital.com/
"No.-18, East Canal Bank Road, Gandhi Nagar",Cancer Institute,Tamil Nadu,Chennai,600020,0,http://cancerinstitutewia.in/CIWIA/
"No:38, Sardar Patel Road",Cancer Institute,Tamil Nadu,Chennai,600036,0,http://cancerinstitutewia.in/CIWIA/
T-80 (New no.24) 5th Main Road,Darshan Eye Clinic,Tamil Nadu,Chennai,600040,0,0
"72, Medavakkam Tank Road, Near Jamai Mosque",Deepam Eye Hospital,Tamil Nadu,Chennai,600010,0,http://www.deepameyehospital.com/
"No.107A, G.S.T.Road, Chromepet",Deepam Hospital (P) Ltd.,Tamil Nadu,Chennai,600044,0,http://www.deepamhospitals.com/
"No.107, A Block, 3rd Avenue, Anna Nagar Roundana","Dr.Agarwal's Eye Hospital Ltd., Anna Nagar",Tamil Nadu,Chennai,600102,0,http://www.dragarwal.com/
"No-19, Cathedral Road","Dr.Agarwal's Eye Hospital Ltd., Gopala Puram",Tamil Nadu,Chennai,600086,0,http://www.dragarwal.com/
"No.4, West Mada Church Street",Diabetes Research Centre and M.V.Hospital For Diabetes,Tamil Nadu,Chennai,600013,0,http://www.mvdiabetes.com/
"2/234, Velachery Main Road",Dr.G.D.Boaz Memorial Hospital School (Psychiatric Hospital and Rehabilitation Centre),Tamil Nadu,Chennai,600073,0,http://www.boazhospital.org/
"No.1, Bharathi Nagar, Redhills Road",Eswar Medical Foundation,Tamil Nadu,Chennai,600099,0,www.eswarhospitals.com
"No.52, First Main Road, Gandhi Nagar, Adyar",Fortis Malar Hospital,Tamil Nadu,Chennai,600020,0,http://www.fortismalar.com/
"R 30 C, Ambattur Industrial Estate Road",Frontier Lifeline Hospital,Tamil Nadu,Chennai,600101,0,http://www.frontierlifeline.com/
"19, K.B Dasan Road (SIET College Road), Alwarpet",Girishwari Hospital Pvt Ltd,Tamil Nadu,Chennai,600018,0,http://girishwarihospital.com/
"439, Cheran Nagar, Perumbakkam",Global Hospitals and Health City,Tamil Nadu,Chennai,600100,0,http://www.globalhospitalsindia.com/
"12/6, City Link Road, Near NGO Colony Bus Stand",G.R.Fertility Centre,Tamil Nadu,Chennai,600088,0,www.grfertilitycentre.com
"372, Poonamallee High Road",Guest Hospital,Tamil Nadu,Chennai,600010,0,http://www.guesthospital.com/
"45, Lakshmi Talkies Road",Hande Hospital,Tamil Nadu,Chennai,600030,0,http://www.handehospital.org/
"65, Nungambakkam High Road (Opposite ICICI and SBI bank  where Haddows Road joins Nungambakkam High Road ), Opposite ICICI and SBI bank\nPonnangipuram, Tirumurthy Nagar\n",Hande Medical Centre,Tamil Nadu,Chennai,600034,0,http://www.handehospital.org/
"24 and 26, 'Swathi', 29 Th Street",Hari Haran Diabetes and Heart Care Hospitals Pvt Ltd,Tamil Nadu,Chennai,600061,0,http://hariharanhospitals.com/
"100 Feet Road, Hindu Colony, Near EB Office",Hindu Mission Health Services,Tamil Nadu,Chennai,600061,0,http://hmhealthservices.in/
103 G.S.T.Road,Hindu Mission Hospital,Tamil Nadu,Chennai,600045,0,http://hindumissionhospital.in/
"No 5/45, Shanmugam Road, Opposite to old SBI building",Hopkins ENT Hospitals,Tamil Nadu,Chennai,600045,0,www.hopkinsent.in
"786 Anna Salai, CIT Nagar West",Huma Specialists Hospital and Research Centre Pvt Ltd,Tamil Nadu,Chennai,600035,0,http://www.humahospital.com/
"34-37, Kalki Krishnamurthy Salai",Impcops Hospital,Tamil Nadu,Chennai,600041,0,http://www.impcops.org/
"No.3, Kothanda Nadar Nagar, Sriperumbudur, Nenmeli",Jaya Hospital,Tamil Nadu,Chennai,602105,0,http://www.jayahospital.com/
"29, Nagamani Garden Street, Seven Wells South, Near Govindappa Naicken Street end, George Town, Flower Bazar Police Station",Janaki E.N.T.Nursing Home,Tamil Nadu,Chennai,600001,0,http://www.janakient.com/
"AB-14/4907, Balasubramanian Building, Opposite Sri Ayyappa Temple, 6th Main Road",K.H.M.Hospital,Tamil Nadu,Chennai,600040,0,http://khmhospital.com/
"New-182, Old-927, Poonamalee High Road, Flower Road",K.J.Hospital,Tamil Nadu,Chennai,600084,0,http://kjhospital.net/kjhospital/Welcome.aspx
"No: 827, Poonamallee High Road",K.K.R.ENT Hospital and Research Institute(P) Ltd,Tamil Nadu,Chennai,600010,0,http://www.kkrenthospital.org/
"747, Poonamallee High Road",K.S.Hospital,Tamil Nadu,Chennai,600031,0,http://kshospital.in/
"67/79, Choolaimedu High Road",Kummaran Eye Speciality Centre,Tamil Nadu,Chennai,600094,0,http://www.kumaraneyecare.in/
"214, E.V.R.Periyar Salai, Poonamalee High Road, Periyar Salai",Kumaran Hospital Pvt.Ltd.,Tamil Nadu,Chennai,600010,0,http://kumaranhospitals.com/Index.html
"No.15, P.S.Sivasamy Salai Road, P.S.Sivasamy Salai",Laksha Hospital,Tamil Nadu,Chennai,600004,0,http://www.lakshahospitals.com/
No.121 G.N.Chetty Road,Laser and Laparascopic Hospital,Tamil Nadu,Chennai,600017,0,http://www.drashokchennai.com/
"47/3, New Avani Roan, Kilpavk",Life Line Multi Speciality,Tamil Nadu,Chennai,600010,0,http://lifelinehospitals.com/
"No.33/18, M.G.Road; 2nd Avenue,\nSasthri nagar","M N Eye Hospital Private Limited, Adyar",Tamil Nadu,Chennai,600020,0,http://www.mneyehospitals.com/
"No.781, T H Road, Opposite Tondiarpet Police Station","M N Eye Hospital Private Limited, Tondiarpet",Tamil Nadu,Chennai,600021,0,http://www.mneyehospitals.com/
"Ambattur Rotary Hospital, 1st Main Road, Ambattur Industrial Estate",Chamadhi Nethralayam Eye Hospital,Tamil Nadu,Chennai,600058,0,http://www.mneyehospitals.com/
"No.9, Kasi Viswanathan Street, Opposite To Ambika Theatre, Voc Nagar",Chamadhi Nethralayam Eye Hospital,Tamil Nadu,Chennai,600052,0,http://www.mneyehospitals.com/
"No.878, Thiruvottiyur High Road, Theradi bus stop near",Chamadhi Nethralayam Eye Hospital,Tamil Nadu,Chennai,600019,0,http://www.mneyehospitals.com/
"1/2, Barathi Nagar, Sathyamangalam",Anush Hospital,Tamil Nadu,Coimbatore,638402,0,0
"167, Raja Street, Sathyamangalam",Pee Vee Hospital,Tamil Nadu,Coimbatore,638402,0,0
"313,Mettupalayam Road,Coimbatare",Ganga Medical Centre and Hospital,Tamil Nadu,Coimbatore,641001,0,0
"37, Ismail Rowther Street, Coimbatore",Immaculate Conception Convent Hospital,Tamil Nadu,Coimbatore,641001,0,0
"No 5 Arts College Road, No 5 Arts College Road",K Govindaswamy Naidu Medical Trust,Tamil Nadu,Coimbatore,641001,0,0
"158, Karuppa Gounder Street",Karthic Nursing Home Pvt. Ltd.,Tamil Nadu,Coimbatore,641001,0,0
"No. 152-A,Trichy Road,Sinthamanipudur",Saraswathi Hospital,Tamil Nadu,Coimbatore,641001,0422 257959,0
"28,Venkatakrishna Road,R S Puram",Shanmuga Nursing Home,Tamil Nadu,Coimbatore,641001,0422  2471233,0
"25, Ishwarya Nagar, Udamalpet Post Coimbatore",Suwaathi Hospital,Tamil Nadu,Coimbatore,641001,0,0
"No. 608, Big Bazaar Street",Vasavi Hospital,Tamil Nadu,Coimbatore,641001,0,0
"152-A, Venkatasamy Road East,R. S. Puram",Akilesh Orthopaedics Hospitals,Tamil Nadu,Coimbatore,641002,4222235778,0
"48, Cowley Brown Road, R.S. Puram, Coimbatore",Balaji Nursing Home,Tamil Nadu,Coimbatore,641002,0,0
"1091, Mettupalayam Rd,North Coimbatore Bus Stop,.",Coimbatore Bone and Joint Foundation (P) Ltd.,Tamil Nadu,Coimbatore,641002,0,0
"43, Periyasamy Road(West ), Behind Eye Foundation . R S Puram,",Gateway Clinic,Tamil Nadu,Coimbatore,641002,0,0
"90/F-3, Mtp Main Road, Near Easwaran Koil, P.N. Palayam",K R Healthcare Pvt Ltd,Tamil Nadu,Coimbatore,641002,0,0
"64,Arokiasamy Road(West),R.S.Puram",K.M.Polyclinic,Tamil Nadu,Coimbatore,641002,0,0
"Cowley Brown Road, R.S.Puram, Coimbatore","Kumaran Hospital, Coimbatore",Tamil Nadu,Coimbatore,641002,0,0
55-56 Subramaniam Road Coimbatore,Lasik Centre Pvt Ltd,Tamil Nadu,Coimbatore,641002,0,0
"361, D B Road R S Puram R S Puram",Maruthi Hospital,Tamil Nadu,Coimbatore,641002,0,0
"232, East Thiruvenkatasamy Road,R S Puram",Ponnaiah Hospital,Tamil Nadu,Coimbatore,641002,0,0
"119, 120, West Periaswamy Road R S Puram u",Rao Hospital,Tamil Nadu,Coimbatore,641002,0,0
"558, D B Road R S Puram Coimbatore",Rasi Hospital,Tamil Nadu,Coimbatore,641002,0,0
"Srivari Kikani Centre,R.S.Puram,",Sankara Eye Hospital,Tamil Nadu,Coimbatore,641002,0,0
"356, D B Road, R S Puram, Coimbatore",Saravana Surgery,Tamil Nadu,Coimbatore,641002,0,0
"684, Ponnai Gowder Road, Coimbatore",Sengallippan Nursing Home,Tamil Nadu,Coimbatore,641002,0,0
"356, D.B.Road, R.S.Puram",Shree Saravana Nursing Home,Tamil Nadu,Coimbatore,641002,0,0
"297&298, D B Road, R S Puram Coimbatore",Sri Ramana Hospital,Tamil Nadu,Coimbatore,641002,0,0
"356, D.B. Road, R.S.Puram, Opposite To Kennedy Theatre,",Sri Thulasi Hospitals,Tamil Nadu,Coimbatore,641002,0,0
"7,Ramachandra Road,R.S.Puram, Coimbatore",Sruti Hospitals,Tamil Nadu,Coimbatore,641002,0,0
"582-A, D B Road, R, S, Puram, Coimbatore",The Eye Foundaton,Tamil Nadu,Coimbatore,641002,0,0
"81/83, T V Sami Road West, Opp To Kamatchiamman Temple, R S Puram",Vasan Eye Care Hospital,Tamil Nadu,Coimbatore,641002,0,0
"New No.52,Old No.133 East Bashyakaralu Road,R.S. Puram,End Of Maruthi Theatre Road.",Vedanayagam Hospital (P) Limited,Tamil Nadu,Coimbatore,641002,0,0
"19,Cowley Brown Road, R.S Puram,Cbe-02",Veekuu Surgery,Tamil Nadu,Coimbatore,641002,0,0
"30, Guru Govind Singh Road Off.,Cowley Brown Road,R. S. Puram.",Vega Ent Hospital,Tamil Nadu,Coimbatore,641002,0,0
"46, Cowley Brown Road, R.S.Puram R.S.Puram",Vijaya Hospitals,Tamil Nadu,Coimbatore,641002,0,0
"69, West Venkatasamy Road, R S Puram, Coimbatore",Vikaram Hospital,Tamil Nadu,Coimbatore,641002,0,0
"8/1 R & R Lay Out, Behind Brooke Bond Road, R S Puram",Senthil Hospital - Coimbatore,Tamil Nadu,Coimbatore,641003,0,0
"10, 10Th Cross, Thirumagal Nagar Peelamedu Pudur",Joseph Hospital,Tamil Nadu,Coimbatore,641004,0,0
"P.O. Box. No.1674,Peelamedu,Near Psg College Of Technology.",Psg Hospital,Tamil Nadu,Coimbatore,641004,"4345767 , 2594400 , 2594401",0
"60,Gandhi Street,B.R.Puram",Raajah Hospitals,Tamil Nadu,Coimbatore,641004,0422  2595670,0
"Balan Nagar, Peelamedu",Sumith Hospital,Tamil Nadu,Coimbatore,641004,0,0
"23, Vivekananda Nagar, Singanallur,",Ar Medical Centre,Tamil Nadu,Coimbatore,641005,0,0
"111, Nanjappa Nagar, Trichy Road,Singanallur Road,Petrol Bunk.",Coimbatore Child Trust Hospital Pvt.Ltd.,Tamil Nadu,Coimbatore,641005,2576333,0
"1041,Trichy Road, Singanallur",N G Hospital Pvt Ltd,Tamil Nadu,Coimbatore,641005,0,0
"657, Trichy Road, Singanallur,  Opp To Andal Kalyana Mandapam",Ortho One Orthopaedic Speciality Center(A Unit Of Spine Arthroscopic and Joint Replacement Center Pvt Ltd),Tamil Nadu,Coimbatore,641005,0,0
"206, 206/1, Trichy Road, Singanallur",Shri Ram Polyclinic,Tamil Nadu,Coimbatore,641005,0,0
"657, Trichy Road, Singanallur",Spine Arthroscopic And Joint Replacement Centre Pv,Tamil Nadu,Coimbatore,641005,0,0
"2100,Trichy Road, Rajalakshmi Mills Stop,",Vgm Hospital,Tamil Nadu,Coimbatore,641005,0422  2572207,0
"Sathy Main Road, (Near Bsnal Exchange)Ganapathy, Coimbatore",Kovai Ent Hospital and Research Centre,Tamil Nadu,Coimbatore,641006,0,0
"Sathy Road,Ganapathy",Paari Nursing Home,Tamil Nadu,Coimbatore,641006,0,0
"Athipalayam Junction Sathy Main Road, Ganapathy","Shree Sivaa Hospital Pvt Ltd ,",Tamil Nadu,Coimbatore,641006,0422  237655,0
"No. 1, Nehru Nagar, Police Quarters Road, Bharathi Nagar, Ganapathy",Sri Shakthy Hospital,Tamil Nadu,Coimbatore,641006,0,0
"90,Vivekananda Road,Senguptha Steet Junction,Ram Nagar,Coimbatore",Ponnammal Duraisamy Eye Clinic,Tamil Nadu,Coimbatore,641007,0,0
"178,Sarojini Street,Ramnagar,Coimbatore-",Sundareswaran Eye Foundation,Tamil Nadu,Coimbatore,641007,0,0
"450-D, Palaghat Main Road, Kuniamuthur",Aparna Hospital,Tamil Nadu,Coimbatore,641008,0,0
"414/1- Palakad Main Road,",Gowtham Hospital,Tamil Nadu,Coimbatore,641008,0,0
"56-A, Palaghat Main Road, Kuniyamuthur Post",K. J. Hospital,Tamil Nadu,Coimbatore,641008,0422  2250550,0
"No. 155-B, East Periyasamy Road,Near Chinthamani,North Coimbatore,R. S. Puram,",Lotus Eye Care Hospital Ltd,Tamil Nadu,Coimbatore,641008,0,0
"25, Rajagopal Nagar, Kuniamuthur, Opposite Kaveriammal Kalyana Mandapam,",Mallika Nursing Home,Tamil Nadu,Coimbatore,641008,0422  2250605,0
"5/402-H,Kuniamuthur,Coimbatore",Sangeetha Hospital,Tamil Nadu,Coimbatore,641008,0,0
"No 450-D, Palakkad Main Road, Kuniamuthoor Kuniamuthoor",Vasan Eye Care Hospital,Tamil Nadu,Coimbatore,641008,0,0
"95-97, Sastri Road, Ramnagar, Coimbatore",Akilesh Orthopaedics Hospital,Tamil Nadu,Coimbatore,641009,0,0
"2 Swarnambika Lay-Out,Ramnagar.","Ganga Medical Centre and Hospitals Pvt. Ltd ,Ramnagar",Tamil Nadu,Coimbatore,641009,2235607,0
"15, Vivekanand Road, Ramnagar,",Kovai Diabetes Speciality Center and Hospital,Tamil Nadu,Coimbatore,641009,0,0
"No. 10, Kalidas Road, Ram Nagar,",M. V. Eye Care Centre,Tamil Nadu,Coimbatore,641009,0,0
"No. 96, Vivekananda Road, Ramnagar",Medindia Hospitals,Tamil Nadu,Coimbatore,641009,0,0
"99, Vivekanada Road,Ramnagar.",S.G. Rajarathinam Nursing Home,Tamil Nadu,Coimbatore,641009,0,0
"50,Vivekanandha Road,Rama Nagar, Opposite Meena Eye Hospital",Spt Hospitals,Tamil Nadu,Coimbatore,641009,0,0
"123, Sashtri Road, Ram Nagar",Sri Meru Nursing Home,Tamil Nadu,Coimbatore,641009,0,0
"P.B.No -2750, Narayana Guru Hospital Road Sai Baba Colony",K T V R Groop Hospital,Tamil Nadu,Coimbatore,641011,0,0
80 N S R Road Saibaba Cilony,Shri Hari Hospital,Tamil Nadu,Coimbatore,641011,0,0
"109, N.S.R. Road, Near Pullamaram Bus Stop Sai Baba Colony",Vishnu Ent Hospital - Coimbatore,Tamil Nadu,Coimbatore,641011,0,0
"1, Alamu Nagar Sathy Road Coimbatore",Ashwin Hospital,Tamil Nadu,Coimbatore,641012,0,0
"223, Dr. Rajendra Prasad Road (100 Feet Road), Gandhipuram",Bethel Hospital Pvt. Ltd. - Coimbatore,Tamil Nadu,Coimbatore,641012,0,0
"272, 7Th Street Extn Gandhipuram",Csr Nursing Home,Tamil Nadu,Coimbatore,641012,0,0
"454,Dr. Radhakrishna Road,Tatabad",Dr. Sengottayan Hospital,Tamil Nadu,Coimbatore,641012,0,0
"284, Sathy Road, Gandhipuram",Ellen Hospital,Tamil Nadu,Coimbatore,641012,0422  4373090,0
"79, 11Th Street, Tatabad, Coimbatore",Kongunad Hospitals Private Limited,Tamil Nadu,Coimbatore,641012,0422  2494303,0
828-A Cross Cut Road Power House Gandhipuram,Lalithaa Hospital,Tamil Nadu,Coimbatore,641012,0,0
"20, Saravana Street Udumalpet",S K Medical Centre,Tamil Nadu,Coimbatore,641012,0,0
"12 B & 12 G, West Power House Road, Tatabad,",Sathya Medical Centre,Tamil Nadu,Coimbatore,641012,0,0
46 East Power House Road Coimbatore,Sheela Clinic,Tamil Nadu,Coimbatore,641012,0,0
205 100 Feet Road Tatabad,The Balakrishnan Hospital,Tamil Nadu,Coimbatore,641012,0,0
"Postgraduate Institute Of Ophthalmology,Avinashi Road",Arqvind Eye Hospital,Tamil Nadu,Coimbatore,641014,0,0
457 A Near N M & Co,Bhanmuhasvndaram Memorial Ent Clinic,Tamil Nadu,Coimbatore,641014,0,0
"Post Box No 3209,Avanashi Road, Coimbatore - 641014",Kovai Medical Center and Hospital,Tamil Nadu,Coimbatore,641014,0,0
"No. 770/12, Avanashi Road,Civil Aerodrome Post,",Lotus Eye Care Hospital Ltd,Tamil Nadu,Coimbatore,641014,0,0
Kalapatti Main Road Near Sitra Civil Aerodrome Post Coimbatore,Park Hospital,Tamil Nadu,Coimbatore,641014,2627737,0
"U 80, Kovaipudur",Priya Hospital,Tamil Nadu,Coimbatore,641014,0,0
"18-G, Ashok Layout, Civil Aerodrome Road",St Lukes Hospital,Tamil Nadu,Coimbatore,641014,0,0
"13/1, Bharathi Nagar, Kamarajar Road, Uppilipalayam Post,",Ramvel Hospital,Tamil Nadu,Coimbatore,641015,0,0
"3/3318, Mtp Road, K.Vadamadurai, Coimbatore",Sri Maruthi Medical Center and Hospital,Tamil Nadu,Coimbatore,641017,0,0
Dr.Nanjappa Road,Arunn Surgery,Tamil Nadu,Coimbatore,641018,0,0
"373, Dr Nanjappa Road, Coimbatore",Dr N S Palaniappan Nursing Home,Tamil Nadu,Coimbatore,641018,0,0
"Kg Hospital,No:5, GovernmentArts College Road,",K.Govind Swamy Naidu Medical Trust,Tamil Nadu,Coimbatore,641018,0,0
"137 East Periasamy Road, R.S. Puram,",Madurai Eye Center,Tamil Nadu,Coimbatore,641018,0,0
"232, Race Course Coimatore",Masonic Medical Centre For Children,Tamil Nadu,Coimbatore,641018,0,0
"No.1287, Trichy Road, Opposite Icici Bank,",Richmond Hospital,Tamil Nadu,Coimbatore,641018,0422  2303670,0
"172, Dr Nanjappa Road Coimbatore",Sakthi Nursing Home,Tamil Nadu,Coimbatore,641018,2230548,0
"1,2, Sundaresa Lay-Out,Trichy Road,Coimbatore",Sri Rani Poly Clinic,Tamil Nadu,Coimbatore,641018,0,0
"190,191, Pollachi Road, Near Lic Colony,Industrial Estate Post",Rajam Medical Centre And Hospital (P) Ltd.,Tamil Nadu,Coimbatore,641021,0,0
"5/33, Nggo Colony Mettupalayam Road",Sree Ramm Nursing Home,Tamil Nadu,Coimbatore,641022,0,0
"5/33, N.G.G.O. Colony",Srinivasan V R Nursing Home,Tamil Nadu,Coimbatore,641022,0,0
"74, Chettipalayam Road, Podanur, Coimbatore",S. M. Clinic,Tamil Nadu,Coimbatore,641023,0,0
Church Road Podanur Podanur,St MaryS Hospital,Tamil Nadu,Coimbatore,641023,0,0
"237, Pollachi Main Road, Sundarapuram",Abinand Hospital,Tamil Nadu,Coimbatore,641024,0422  2673831,0
135-A Saradha Mill Road Sundarapuram,Koushikha Hospital,Tamil Nadu,Coimbatore,641024,0,0
